Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,Moves,WhiteFirstMove,BlackFirstMove,MyResult,MyFirstMove,MyElo,MyOpponentsElo
Rated Bullet game,https://lichess.org/FyDMtnqO,2021.07.15,ricardojose123,OzymandiasS,0-1,2021/07/15,00:25:01,1529,1584,-5,+5,Standard,60+0,B00,Time forfeit,1. e4 d6 2. Nf3 e6 3. d4 g6 4. Bc4 Bg7 5. O-O Ne7 6. Re1 O-O 7. e5 b6 8. Bb3 c5 9. Nc3 cxd4 10. Nxd4 dxe5 11. Nde2 Qxd1 12. Rxd1 Bb7 13. Bg5 Nbc6 14. Ba4 Rad8 15. Bxc6 Bxc6 16. Bxe7 Rxd1+ 17. Rxd1 Re8 18. Ba3 f5 19. Ng3 e4 20. Nf1 e5 21. g3 f4 22. gxf4 exf4 23. Re1 b5 24. Bc5 a5 25. Bb6 b4 26. Ne2 f3 27. Nf4 a4 28. Bc5 g5 29. Nh3 g4 30. Nf4 Be5 31. Be3 b3 32. cxb3 axb3 33. axb3 Bb5 34. Rb1 Be2 35. b4 Bxf4 36. b5 Bxe3 37. fxe3 Bxb5 38. b4 Bxf1 39. Kxf1 Rb8 40. b5 Kf7 41. b6 Ke6 42. b7 Kd6 43. h3 Kc7 44. hxg4 Rxb7 45. g5 Rxb1+ 46. Kf2 Rb6 47. Kg3 Rg6 48. Kf4 Kd7 0-1,e4,d6,Win,d6,1584,1529
Rated Bullet game,https://lichess.org/C0uzp7rV,2021.07.15,OzymandiasS,HumphreyBongani,0-1,2021/07/15,00:22:21,1588,1648,-4,+5,Standard,60+0,B50,Time forfeit,1. e4 c5 2. Nf3 d6 3. d4 Nc6 4. dxc5 Qa5+ 5. Nc3 Qxc5 6. Be3 Qh5 7. Be2 Ne5 8. Nd4 Qg6 9. Nd5 Rb8 10. O-O Bh3 11. Bb5+ Nd7 12. Qf3 a6 13. Ba4 b5 14. Bb3 Be6 15. Nc7+ Kd8 16. Ncxe6+ fxe6 17. Nxe6+ Ke8 18. Nxf8 Nxf8 19. Bd4 Nf6 20. Bxf6 gxf6 21. Rae1 Rg8 22. g3 Nd7 23. e5 Nxe5 24. Rxe5 dxe5 25. Bxg8 Qxg8 26. Qc6+ Kf7 27. Rd1 Rf8 28. Qd5+ Kg6 29. f4 exf4 30. Rd4 Qxd5 0-1,e4,c5,Loss,e4,1588,1648
Rated Bullet game,https://lichess.org/QQY6dWTG,2021.07.14,jwm88,OzymandiasS,1-0,2021/07/14,23:38:59,1578,1594,+6,-6,Standard,60+0,A41,Time forfeit,1. d4 d6 2. c4 e6 3. Nc3 g6 4. g3 Bg7 5. Bg2 Ne7 6. e3 O-O 7. Nge2 c6 8. O-O Nd7 9. b4 f5 10. a4 e5 11. dxe5 dxe5 12. Bb2 Nb6 13. c5 Nbd5 14. Ba3 Be6 15. Nxd5 Nxd5 16. Rb1 e4 17. b5 Qc7 18. bxc6 bxc6 19. Rb2 Bxb2 20. Bxb2 Rad8 21. Bd4 Nb4 22. Qb1 Nd3 23. Rd1 Rb8 24. Qa1 Bb3 25. Rd2 Rb7 26. h4 Rfb8 27. Kh2 Bf7 28. Qa2 Bxa2 29. Rxa2 Ne1 30. Kh3 Nxg2 31. Kxg2 Qd7 32. h5 gxh5 33. Kh3 Qg7 34. Kg2 Qg4 35. Nf4 Qf3+ 36. Kf1 Rb2 37. Bxb2 Rxb2 38. Rxb2 1-0,d4,d6,Loss,d6,1594,1578
Rated Bullet game,https://lichess.org/20li3jWo,2021.07.14,OzymandiasS,MOARStuff,1-0,2021/07/14,23:36:29,1588,1613,+6,-6,Standard,60+0,C20,Normal,1. e4 e5 2. d3 Nc6 3. Nc3 Bc5 4. Bd2 d6 5. Nf3 Bb6 6. Be2 Bg4 7. O-O Bxf3 8. Bxf3 f6 9. Ne2 Nge7 10. c3 Ng6 11. d4 exd4 12. cxd4 Nxd4 13. Nxd4 Bxd4 14. Rb1 c5 15. b3 Qc7 16. Re1 Be5 17. Be3 O-O 18. Qd5+ Kh8 19. Rbd1 b6 20. Bg4 Bf4 21. Bxf4 Nxf4 22. Qxd6 Qxd6 23. Rxd6 Rfd8 24. Red1 h5 25. Rxd8+ Rxd8 26. Rxd8+ Kh7 27. Bf5+ g6 28. Rd7+ Kh6 29. Bh3 g5 30. g3 Ne2+ 31. Kf1 Nd4 32. Rxa7 g4 33. Bg2 f5 34. Ra6 fxe4 35. Rxb6+ Kg5 36. Bxe4 Nc2 37. Bxc2 h4 38. b4 h3 39. bxc5 Kh5 40. c6 Kg5 41. c7 Kh5 42. c8=Q Kg5 43. Qc5# 1-0,e4,e5,Win,e4,1588,1613
Rated Bullet game,https://lichess.org/wLsSTSSR,2021.07.14,Gerardo_Cordoba,OzymandiasS,1-0,2021/07/14,23:33:46,1607,1594,+6,-6,Standard,60+0,B00,Time forfeit,1. e4 d6 2. Bc4 e6 3. d4 g6 4. Bf4 Bg7 5. Nf3 Ne7 6. Bg5 O-O 7. O-O f6 8. Nc3 fxg5 9. Nxg5 d5 10. exd5 exd5 11. Bb3 Nf5 12. Qf3 Qxg5 13. Bxd5+ Kh8 14. Qd3 c6 15. Bf3 Nd7 16. Kh1 Nxd4 17. Rg1 Nxf3 18. gxf3 Qd5 19. Qxd5 cxd5 20. Nxd5 Ne5 21. Nc7 Rb8 22. Nd5 Nxf3 23. Rg3 Ne5 24. Kg2 Be6 25. Ne3 Rbd8 26. Rd1 Rxd1 27. Nxd1 Bd5+ 28. Kf1 Nf3 29. Ne3 Nd2+ 30. Ke1 Nf3+ 31. Ke2 Bc6 32. c4 Bxb2 33. Nd5 Nd4+ 34. Kd3 Bxd5 35. cxd5 Rd8 36. Kc4 Kg7 37. Rb3 Nxb3 38. axb3 Bf6 39. b4 Kf7 40. b5 Ke7 41. Kc5 Kd7 42. d6 b6+ 43. Kd5 1-0,e4,d6,Loss,d6,1594,1607
Rated Bullet game,https://lichess.org/Iz08nCcB,2021.07.14,OzymandiasS,abdullabettar,1-0,2021/07/14,23:31:11,1587,1608,+7,-6,Standard,60+0,B00,Time forfeit,1. e4 b6 2. d3 Bb7 3. Nc3 e6 4. Bd2 Nf6 5. g3 d6 6. Bg2 h6 7. Nge2 c5 8. O-O Nbd7 9. f4 a6 10. e5 Bxg2 11. Kxg2 Nh7 12. exd6 Bxd6 13. Be3 Qc8 14. d4 c4 15. Ne4 Qc6 16. Nc3 f5 17. d5 exd5 18. Nxd6+ Qxd6 19. Qxd5 Qxd5+ 20. Nxd5 b5 21. Nc7+ Kf7 22. Nxa8 Rxa8 23. Rad1 Ndf6 24. c3 Ne4 25. Bc5 Nhf6 26. a3 Ne8 27. Rd7+ Kg6 28. Rfd1 a5 29. Bd4 Rb8 30. Be5 Rc8 31. Rb7 b4 32. axb4 axb4 33. Rdd7 bxc3 34. bxc3 Nxc3 35. Bxc3 Rc7 36. Rbxc7 Nxc7 37. Rxc7 h5 38. Rxg7+ 1-0,e4,b6,Win,e4,1587,1608
Rated Bullet game,https://lichess.org/J2P069R2,2021.07.14,Mohammad9x,OzymandiasS,0-1,2021/07/14,23:28:36,1550,1582,-5,+5,Standard,60+0,A41,Time forfeit,1. e4 d6 2. d4 e5 3. dxe5 dxe5 4. Qxd8+ Kxd8 5. Nf3 Nc6 6. Bb5 Bd7 7. Bxc6 Bxc6 8. Nxe5 Ke7 9. f3 Bb5 10. c4 Ba6 11. b4 f6 12. Nd3 Bxc4 13. O-O Bxd3 14. Rd1 Bxb1 15. Rxb1 Rd8 16. Bf4 Rxd1+ 17. Rxd1 c6 18. Bd6+ Kf7 19. Bxf8 Kxf8 20. Rd8+ Kf7 21. Kf2 h5 22. f4 Rh6 23. e5 fxe5 24. fxe5 Re6 25. Rd7+ Re7 26. Rxe7+ Nxe7 27. Kf3 Ke6 28. Ke4 g5 29. h3 Nf5 30. g4 hxg4 31. hxg4 Ne7 32. a4 Nd5 33. b5 cxb5 34. axb5 a6 35. bxa6 bxa6 36. Kd4 a5 37. Kc4 Kxe5 38. Kb5 Kf4 39. Kxa5 Kxg4 40. Kb5 Kf4 41. Kc4 Ne3+ 42. Kd3 g4 43. Ke2 Kg3 44. Ke1 Kg2 45. Ke2 Nf5 46. Ke1 g3 47. Ke2 Kg1 48. Kf3 g2 0-1,e4,d6,Win,d6,1582,1550
Rated Bullet game,https://lichess.org/h14O2H7S,2021.07.13,OzymandiasS,Evenflow,0-1,2021/07/13,02:00:04,1587,1622,-5,+5,Standard,60+0,A05,Time forfeit,1. e4 Nf6 2. Nf3 Nxe4 3. Ng5 Nxg5 4. d4 Ne4 5. Qf3 d5 6. Bd3 f5 7. Bg5 g6 8. O-O h6 9. Bh4 Bg7 10. c4 c6 11. cxd5 Qxd5 12. Nc3 Qxd4 13. Bxe4 fxe4 14. Qf4 Rf8 15. Qc1 g5 16. Bg3 Be5 17. Ne2 Qxb2 18. Rb1 Qxc1 19. Nxc1 Bxg3 20. hxg3 e3 21. f3 g4 0-1,e4,Nf6,Loss,e4,1587,1622
Rated Bullet game,https://lichess.org/OgsFzGyi,2021.07.13,fwguerra,OzymandiasS,1-0,2021/07/13,01:58:25,1578,1593,+7,-6,Standard,60+0,D35,Normal,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Be7 7. Nf3 O-O 8. h4 b6 9. e5 Bb7 10. Bd3 c5 11. Bxh7+ Kxh7 12. Ng5+ Kg8 13. Qh5 Bxg5 14. hxg5 f6 15. g6 Re8 16. Qh8# 1-0,d4,d5,Loss,d5,1593,1578
Rated Bullet game,https://lichess.org/LsgCgCUV,2021.07.12,nitsugamo,OzymandiasS,1-0,2021/07/12,21:13:06,1605,1599,+6,-6,Standard,60+0,D00,Time forfeit,1. d4 d5 2. Bg5 f6 3. Bf4 e5 4. dxe5 fxe5 5. Bxe5 Nf6 6. Nc3 Bd6 7. Bxf6 Qxf6 8. Nxd5 Qxb2 9. e3 Bb4+ 10. Nxb4 Qxb4+ 11. Qd2 Qxd2+ 12. Kxd2 O-O 13. Re1 Rxf2+ 14. Kc1 Nc6 15. Bc4+ Kf8 16. Nf3 Rxg2 17. Ref1 Ke7 18. e4 Bg4 19. Nh4 Be2 20. Rf7+ Kd6 21. Nxg2 Bxc4 22. Rxg7 Ne5 23. Nf4 Rf8 24. Nd3 Nxd3+ 25. cxd3 Bxd3 26. Rd1 Ke5 27. Rxd3 Rf1+ 28. Kc2 Rf6 29. Re7+ 1-0,d4,d5,Loss,d5,1599,1605
